subscription_id,customer_id,payment_date,status
250,35,2025-08-01,Active
251,35,2025-09-01,Active
252,35,2025-10-01,Active
253,35,2025-11-01,Active
254,35,2025-12-01,Active
255,36,2025-01-01,Active
256,36,2025-02-01,Churned
257,37,2025-06-01,Active
258,37,2025-07-01,Active
259,37,2025-08-01,Active
260,37,2025-09-01,Active
261,37,2025-10-01,Active
262,37,2025-11-01,Active
263,37,2025-12-01,Active
264,38,2025-01-01,Active
265,38,2025-02-01,Active
266,38,2025-03-01,Active
267,38,2025-04-01,Active
268,38,2025-05-01,Active
269,38,2025-06-01,Active
270,38,2025-07-01,Active
271,38,2025-08-01,Active
272,38,2025-09-01,Active
273,38,2025-10-01,Active
274,38,2025-11-01,Active
275,38,2025-12-01,Active
276,39,2025-02-01,Active
277,39,2025-03-01,Active
278,39,2025-04-01,Active
279,39,2025-05-01,Active
280,39,2025-06-01,Churned
281,40,2025-02-01,Churned
282,41,2025-06-01,Active
283,41,2025-07-01,Active
284,41,2025-08-01,Active
285,41,2025-09-01,Active
286,41,2025-10-01,Active
287,41,2025-11-01,Active
288,41,2025-12-01,Active
289,42,2025-01-01,Active
290,42,2025-02-01,Active
291,42,2025-03-01,Active
292,42,2025-04-01,Active
293,42,2025-05-01,Active
294,42,2025-06-01,Active
295,42,2025-07-01,Active
296,42,2025-08-01,Active
297,42,2025-09-01,Active
298,42,2025-10-01,Active
299,42,2025-11-01,Active
300,42,2025-12-01,Active
301,43,2025-03-01,Active
302,43,2025-04-01,Active
303,43,2025-05-01,Active
304,43,2025-06-01,Active
305,43,2025-07-01,Active
306,43,2025-08-01,Active
307,43,2025-09-01,Active
308,43,2025-10-01,Active
309,43,2025-11-01,Active
310,43,2025-12-01,Active
311,44,2025-03-01,Active
312,44,2025-04-01,Active
313,44,2025-05-01,Active
314,44,2025-06-01,Active
315,44,2025-07-01,Churned
316,45,2025-04-01,Active
317,45,2025-05-01,Active
318,45,2025-06-01,Active
319,45,2025-07-01,Active
320,45,2025-08-01,Active
321,45,2025-09-01,Active
322,45,2025-10-01,Active
323,45,2025-11-01,Active
324,45,2025-12-01,Active
325,46,2025-02-01,Active
326,46,2025-03-01,Active
327,46,2025-04-01,Active
328,46,2025-05-01,Active
329,46,2025-06-01,Active
330,46,2025-07-01,Active
331,46,2025-08-01,Active
332,46,2025-09-01,Active
333,46,2025-10-01,Active
334,46,2025-11-01,Active
335,46,2025-12-01,Active
336,47,2025-03-01,Active
337,47,2025-04-01,Active
338,47,2025-05-01,Active
339,47,2025-06-01,Active
340,47,2025-07-01,Active
341,47,2025-08-01,Active
342,47,2025-09-01,Active
343,47,2025-10-01,Active
344,47,2025-11-01,Active
345,47,2025-12-01,Active
346,48,2025-04-01,Active
347,48,2025-05-01,Active
348,48,2025-06-01,Active
349,48,2025-07-01,Active
350,48,2025-08-01,Active
351,48,2025-09-01,Active
352,48,2025-10-01,Active
353,48,2025-11-01,Active
354,48,2025-12-01,Active
355,49,2025-02-01,Active
356,49,2025-03-01,Active
357,49,2025-04-01,Active
358,49,2025-05-01,Churned
359,50,2025-05-01,Active
360,50,2025-06-01,Active
361,50,2025-07-01,Active
362,50,2025-08-01,Active
363,50,2025-09-01,Active
364,50,2025-10-01,Active
365,50,2025-11-01,Active
366,50,2025-12-01,Active
367,51,2025-02-01,Active
368,51,2025-03-01,Active
369,51,2025-04-01,Active
370,51,2025-05-01,Active
371,51,2025-06-01,Active
372,51,2025-07-01,Churned
373,52,2025-02-01,Active
374,52,2025-03-01,Active
375,52,2025-04-01,Churned
376,53,2025-03-01,Active
377,53,2025-04-01,Churned
378,54,2025-01-01,Active
379,54,2025-02-01,Churned
380,55,2025-05-01,Active
381,55,2025-06-01,Active
382,55,2025-07-01,Churned
383,56,2025-05-01,Churned
384,57,2025-03-01,Active
385,57,2025-04-01,Active
386,57,2025-05-01,Active
387,57,2025-06-01,Active
388,57,2025-07-01,Active
389,57,2025-08-01,Active
390,57,2025-09-01,Active
391,57,2025-10-01,Active
392,57,2025-11-01,Active
393,57,2025-12-01,Active
394,58,2025-06-01,Active
395,58,2025-07-01,Churned
396,59,2025-05-01,Active
397,59,2025-06-01,Active
398,59,2025-07-01,Active
399,59,2025-08-01,Active
400,59,2025-09-01,Active
401,59,2025-10-01,Active
402,59,2025-11-01,Active
403,59,2025-12-01,Active
404,60,2025-04-01,Active
405,60,2025-05-01,Active
406,60,2025-06-01,Active
407,60,2025-07-01,Active
408,60,2025-08-01,Active
409,60,2025-09-01,Active
410,60,2025-10-01,Active
411,60,2025-11-01,Active
412,60,2025-12-01,Active
413,61,2025-03-01,Active
414,61,2025-04-01,Active
415,61,2025-05-01,Active
416,61,2025-06-01,Active
417,61,2025-07-01,Active
418,61,2025-08-01,Active
419,61,2025-09-01,Active
420,61,2025-10-01,Active
421,61,2025-11-01,Active
422,61,2025-12-01,Active
423,62,2025-06-01,Active
424,62,2025-07-01,Active
425,62,2025-08-01,Active
426,62,2025-09-01,Churned
427,63,2025-03-01,Active
428,63,2025-04-01,Active
429,63,2025-05-01,Churned
430,64,2025-03-01,Active
431,64,2025-04-01,Active
432,64,2025-05-01,Active
433,64,2025-06-01,Active
434,64,2025-07-01,Active
435,64,2025-08-01,Active
436,64,2025-09-01,Active
437,64,2025-10-01,Active
438,64,2025-11-01,Active
439,64,2025-12-01,Active
440,65,2025-06-01,Active
441,65,2025-07-01,Active
442,65,2025-08-01,Active
443,65,2025-09-01,Active
444,65,2025-10-01,Active
445,65,2025-11-01,Churned
446,66,2025-03-01,Active
447,66,2025-04-01,Active
448,66,2025-05-01,Active
449,66,2025-06-01,Active
450,66,2025-07-01,Active
451,66,2025-08-01,Active
452,66,2025-09-01,Active
453,66,2025-10-01,Active
454,66,2025-11-01,Active
455,66,2025-12-01,Active
456,67,2025-01-01,Active
457,67,2025-02-01,Active
458,67,2025-03-01,Active
459,67,2025-04-01,Active
460,67,2025-05-01,Active
461,67,2025-06-01,Churned
462,68,2025-01-01,Active
463,68,2025-02-01,Active
464,68,2025-03-01,Active
465,68,2025-04-01,Active
466,68,2025-05-01,Churned
467,69,2025-03-01,Active
468,69,2025-04-01,Active
469,69,2025-05-01,Active
470,69,2025-06-01,Active
471,69,2025-07-01,Active
472,69,2025-08-01,Active
473,69,2025-09-01,Active
474,69,2025-10-01,Active
475,69,2025-11-01,Active
476,69,2025-12-01,Active
477,70,2025-02-01,Active
478,70,2025-03-01,Churned
479,71,2025-04-01,Active
480,71,2025-05-01,Active
481,71,2025-06-01,Active
482,71,2025-07-01,Active
483,71,2025-08-01,Active
484,71,2025-09-01,Active
485,71,2025-10-01,Active
486,71,2025-11-01,Active
487,71,2025-12-01,Active
488,72,2025-01-01,Active
489,72,2025-02-01,Active
490,72,2025-03-01,Active
491,72,2025-04-01,Active
492,72,2025-05-01,Active
493,72,2025-06-01,Active
494,72,2025-07-01,Active
495,72,2025-08-01,Active
496,72,2025-09-01,Active
497,72,2025-10-01,Active
498,72,2025-11-01,Active
499,72,2025-12-01,Active
500,73,2025-01-01,Active
501,73,2025-02-01,Active
502,73,2025-03-01,Active
503,73,2025-04-01,Active
504,73,2025-05-01,Active
505,73,2025-06-01,Active
506,73,2025-07-01,Active
507,73,2025-08-01,Active
508,73,2025-09-01,Active
509,73,2025-10-01,Active
510,73,2025-11-01,Active
511,73,2025-12-01,Active
512,74,2025-04-01,Active
513,74,2025-05-01,Active
514,74,2025-06-01,Active
515,74,2025-07-01,Churned
516,75,2025-02-01,Active
517,75,2025-03-01,Active
518,75,2025-04-01,Active
519,75,2025-05-01,Active
520,75,2025-06-01,Active
521,75,2025-07-01,Active
522,75,2025-08-01,Active
523,75,2025-09-01,Active
524,75,2025-10-01,Active
525,75,2025-11-01,Active
526,75,2025-12-01,Active
527,76,2025-03-01,Active
528,76,2025-04-01,Active
529,76,2025-05-01,Active
530,76,2025-06-01,Active
531,76,2025-07-01,Active
532,76,2025-08-01,Active
533,76,2025-09-01,Active
534,76,2025-10-01,Active
535,76,2025-11-01,Active
536,76,2025-12-01,Active
537,77,2025-05-01,Churned
538,78,2025-06-01,Churned
539,79,2025-01-01,Active
540,79,2025-02-01,Active
541,79,2025-03-01,Active
542,79,2025-04-01,Churned
543,80,2025-05-01,Active
544,80,2025-06-01,Active
545,80,2025-07-01,Active
546,80,2025-08-01,Churned
547,81,2025-01-01,Active
548,81,2025-02-01,Active
549,81,2025-03-01,Active
550,81,2025-04-01,Active
551,81,2025-05-01,Active
552,81,2025-06-01,Active
553,81,2025-07-01,Active
554,81,2025-08-01,Active
555,81,2025-09-01,Active
556,81,2025-10-01,Active
557,81,2025-11-01,Active
558,81,2025-12-01,Active
559,82,2025-02-01,Active
560,82,2025-03-01,Active
561,82,2025-04-01,Active
562,82,2025-05-01,Active
563,82,2025-06-01,Active
564,82,2025-07-01,Active
565,82,2025-08-01,Active
566,82,2025-09-01,Active
567,82,2025-10-01,Active
568,82,2025-11-01,Active
569,82,2025-12-01,Active
570,83,2025-03-01,Active
571,83,2025-04-01,Active
572,83,2025-05-01,Active
573,83,2025-06-01,Active
574,83,2025-07-01,Active
575,83,2025-08-01,Active
576,83,2025-09-01,Active
577,83,2025-10-01,Active
578,83,2025-11-01,Active
579,83,2025-12-01,Active
580,84,2025-05-01,Active
581,84,2025-06-01,Churned
582,85,2025-05-01,Active
583,85,2025-06-01,Active
584,85,2025-07-01,Active
585,85,2025-08-01,Active
586,85,2025-09-01,Active
587,85,2025-10-01,Active
588,85,2025-11-01,Active
589,85,2025-12-01,Active
590,86,2025-05-01,Churned
591,87,2025-04-01,Active
592,87,2025-05-01,Active
593,87,2025-06-01,Active
594,87,2025-07-01,Active
595,87,2025-08-01,Active
596,87,2025-09-01,Active
597,87,2025-10-01,Active
598,87,2025-11-01,Active
599,87,2025-12-01,Active
600,88,2025-03-01,Active
601,88,2025-04-01,Active
602,88,2025-05-01,Active
603,88,2025-06-01,Active
604,88,2025-07-01,Active
605,88,2025-08-01,Churned
606,89,2025-03-01,Active
607,89,2025-04-01,Active
608,89,2025-05-01,Active
609,89,2025-06-01,Active
610,89,2025-07-01,Active
611,89,2025-08-01,Churned
612,90,2025-01-01,Active
613,90,2025-02-01,Active
614,90,2025-03-01,Active
615,90,2025-04-01,Active
616,90,2025-05-01,Active
617,90,2025-06-01,Active
618,90,2025-07-01,Active
619,90,2025-08-01,Active
620,90,2025-09-01,Active
621,90,2025-10-01,Active
622,90,2025-11-01,Active
623,90,2025-12-01,Active
624,91,2025-03-01,Active
625,91,2025-04-01,Active
626,91,2025-05-01,Active
627,91,2025-06-01,Active
628,91,2025-07-01,Active
629,91,2025-08-01,Churned
630,92,2025-06-01,Active
631,92,2025-07-01,Active
632,92,2025-08-01,Active
633,92,2025-09-01,Active
634,92,2025-10-01,Active
635,92,2025-11-01,Active
636,92,2025-12-01,Active
637,93,2025-03-01,Churned
638,94,2025-02-01,Active
639,94,2025-03-01,Active
640,94,2025-04-01,Active
641,94,2025-05-01,Active
642,94,2025-06-01,Active
643,94,2025-07-01,Active
644,94,2025-08-01,Active
645,94,2025-09-01,Active
646,94,2025-10-01,Active
647,94,2025-11-01,Active
648,94,2025-12-01,Active
649,95,2025-05-01,Active
650,95,2025-06-01,Active
651,95,2025-07-01,Active
652,95,2025-08-01,Active
653,95,2025-09-01,Active
654,95,2025-10-01,Active
655,95,2025-11-01,Active
656,95,2025-12-01,Active
657,96,2025-04-01,Churned
658,97,2025-06-01,Active
659,97,2025-07-01,Active
660,97,2025-08-01,Active
661,97,2025-09-01,Active
662,97,2025-10-01,Active
663,97,2025-11-01,Active
664,97,2025-12-01,Active
665,98,2025-04-01,Active
666,98,2025-05-01,Active
667,98,2025-06-01,Churned
668,99,2025-01-01,Churned
669,100,2025-03-01,Active
670,100,2025-04-01,Active
671,100,2025-05-01,Active
672,100,2025-06-01,Active
673,100,2025-07-01,Active
674,100,2025-08-01,Active
675,100,2025-09-01,Active
676,100,2025-10-01,Active
677,100,2025-11-01,Active
678,100,2025-12-01,Active
